faculty_name,profile_url,group_tag,cross_appointment
Mark Oremus,https://uwaterloo.ca/public-health-sciences/people-profiles/mark-oremus,Researchers,0
Mark Oremus,https://uwaterloo.ca/public-health-sciences/people-profiles/mark-oremus,Health and aging researcher,0
Mark Oremus,https://uwaterloo.ca/public-health-sciences/people-profiles/mark-oremus,Health neuroscience and cognitive epidemiology researcher,0
Chris Perlman,https://uwaterloo.ca/public-health-sciences/profiles/chris-perlman,Researchers,0
Chris Perlman,https://uwaterloo.ca/public-health-sciences/profiles/chris-perlman,Health policy and health systems researcher,0
Kelly Skinner,https://uwaterloo.ca/public-health-sciences/people-profiles/kelly-skinner,Researchers,0
Kelly Skinner,https://uwaterloo.ca/public-health-sciences/people-profiles/kelly-skinner,Chronic disease prevention and management researcher,0
Kelly Skinner,https://uwaterloo.ca/public-health-sciences/people-profiles/kelly-skinner,"Food and water safety, security and governance researcher",0
Kelly Skinner,https://uwaterloo.ca/public-health-sciences/people-profiles/kelly-skinner,Health and environment researcher,0
Abel Torres Espin,https://uwaterloo.ca/public-health-sciences/profiles/abel-torres-espin,Researchers,0
Abel Torres Espin,https://uwaterloo.ca/public-health-sciences/profiles/abel-torres-espin,Health informatics researcher,0
Abel Torres Espin,https://uwaterloo.ca/public-health-sciences/profiles/abel-torres-espin,Chronic disease prevention and management researcher,0
Abel Torres Espin,https://uwaterloo.ca/public-health-sciences/profiles/abel-torres-espin,Health neuroscience and cognitive epidemiology researcher,0
Suzanne Tyas,https://uwaterloo.ca/public-health-sciences/profiles/suzanne-tyas,Researchers,0
Suzanne Tyas,https://uwaterloo.ca/public-health-sciences/profiles/suzanne-tyas,Chronic disease prevention and management researcher,0
Suzanne Tyas,https://uwaterloo.ca/public-health-sciences/profiles/suzanne-tyas,Health and aging researcher,0
Suzanne Tyas,https://uwaterloo.ca/public-health-sciences/profiles/suzanne-tyas,Health neuroscience and cognitive epidemiology researcher,0
James Wallace,https://uwaterloo.ca/public-health-sciences/profiles/james-wallace,Researchers,0
James Wallace,https://uwaterloo.ca/public-health-sciences/profiles/james-wallace,Health informatics researcher,0
Diane Williams,https://uwaterloo.ca/public-health-sciences/profiles/diane-williams,Researchers,0
Diane Williams,https://uwaterloo.ca/public-health-sciences/profiles/diane-williams,Health neuroscience and cognitive epidemiology researcher,0
Jennifer Yessis,https://uwaterloo.ca/public-health-sciences/profiles/jennifer-yessis,Researchers,0
Jennifer Yessis,https://uwaterloo.ca/public-health-sciences/profiles/jennifer-yessis,Chronic disease prevention and management researcher,0
