analysis,cohort_bucket,estimate,std_error,ci_low,ci_high,n_obs,n_clusters,n_treated_clusters
Pooled with entry-cohort FE,All cohorts,-1393.854,984.310,-3323.102,535.394,237,29,8
Within-cohort FE,2017-2019,-2945.218,539.922,-4003.465,-1886.971,74,10,3
Matched FE (±1 year),Matched set,-2757.032,614.222,-3960.908,-1553.157,70,11,5
Matched average slope gap (first 5 years),Matched ±1 year,-1501.764,1210.842,-3875.016,871.487,11,11,5
