"comparison","df_diff","AIC_reduced","AIC_full","BIC_reduced","BIC_full","logLik_reduced","logLik_full","chisq","p_value"
"M1 vs M2 (add time)",3,8038.06769136054,7081.22045495685,8049.57212357173,7104.22931937922,-4016.03384568027,-3534.61022747842,962.847236403697,2.06323294745052e-208
"M2 vs M3 (add MHI x time)",2,7081.22045495685,7073.33927907592,7104.22931937922,7104.01776497242,-3534.61022747842,-3528.66963953796,11.8811758809225,0.00263048262910917
