comparison;df_diff;AIC_reduced;AIC_full;BIC_reduced;BIC_full;logLik_reduced;logLik_full;chisq;p_value
M1 vs M2 (add time);3;7165.4521507776;6305.52137277246;7176.63269402036;6327.88245925799;-3579.7260753888;-3146.76068638623;865.930778005135;2.17121594463838e-187
M2 vs M3 (add MHI x time);2;6305.52137277246;6299.28280058834;6327.88245925799;6329.09758256904;-3146.76068638623;-3141.64140029417;10.2385721841219;0.00598029074844045
