analysis,cohort_bucket,model,term,observed_estimate,null_mean,null_std_dev,null_q025,null_q975,p_two_sided,n_permutations,inference_method
Pooled with entry-cohort FE,All cohorts,Pooled with entry-cohort FE,YearsSinceFirstXMHI,-1774.603,80.476,1605.637,-3210.096,3136.285,0.272,20000,monte-carlo
Within-cohort FE,2017-2019,Within-cohort FE,YearsSinceFirstXMHI,-2945.218,25.506,1230.715,-2467.388,1943.603,0.008,120,exact
Matched FE (±1 year),Matched set,Matched FE,YearsSinceFirstXMHI,-1698.229,44.925,1091.686,-1846.916,2134.840,0.135,126,exact
