faculty_name,cross_appointment,group_count,profile_url
Abel Torres Espin,0,4,https://uwaterloo.ca/public-health-sciences/profiles/abel-torres-espin
Ashok Chaurasia,0,2,https://uwaterloo.ca/public-health-sciences/profiles/ashok-chaurasia
Hao Luo,0,3,https://uwaterloo.ca/public-health-sciences/profiles/hao-luo
Helen Chen,0,4,https://uwaterloo.ca/public-health-sciences/profiles/helen-chen
James Wallace,0,2,https://uwaterloo.ca/public-health-sciences/profiles/james-wallace
John Hirdes,0,4,https://uwaterloo.ca/public-health-sciences/profiles/john-hirdes
Lili Liu,0,5,https://uwaterloo.ca/public-health-sciences/profiles/lili-liu
Plinio Morita,0,9,https://uwaterloo.ca/public-health-sciences/profiles/plinio-morita
Zahid A. Butt,0,2,https://uwaterloo.ca/public-health-sciences/profiles/zahid-butt
