analysis,cohort_bucket,estimate,std_error,ci_low,ci_high,n_obs,n_clusters,n_treated_clusters
Pooled with entry-cohort FE,All cohorts,-1765.336,637.828,-3015.479,-515.192,364,38,6
Within-cohort FE,2017-2019,-2945.218,539.922,-4003.465,-1886.971,74,10,3
Matched FE (±1 year),Matched set,-1741.538,977.691,-3657.812,174.736,83,11,5
Matched average slope gap (first 5 years),Matched ±1 year,-2046.819,1188.163,-4375.620,281.981,11,11,5
