group,n_obs,mean_percentile,median_percentile,below_p50_n,below_p50_pct,below_yearly_median_n,below_yearly_median_pct
MHI,44,24.69,19.09,35,79.55,36,81.82
Non-MHI,263,56.90,57.58,107,40.68,115,43.73
